Date,Amount,Description,Tag
7/27/17,21.19,Amazon - Switch carrying case,
7/26/17,4.84,Peet's,JYJ Entertainment
7/23/17,25.98,bareMinerals Perfecting Veil,MAK Entertainment
7/22/17,74.19,Best Buy - Switch Controller,JYJ Entertainment
7/20/17,4.18,Peet's,JYJ Entertainment
7/19/17,4.18,Peet's,JYJ Entertainment
7/17/17,11.50,Reston Town Center Lunch w/ Falina,MAK Entertainment
7/15/17,4.18,Peet's,JYJ Entertainment
7/13/17,59.99,Mario Kart 8 (Switch),JYJ Entertainment
7/12/17,4.18,Peet's,JYJ Entertainment
7/5/17,37.06,Anthropologie,MAK Entertainment
7/4/17,4.14,Peet's,JYJ Entertainment
